=== Linearly Separable Dataset (D1) ===
X1_feature1 X1_feature2 y1_class
3.0455 1.3738 1
4.9626 1.1459 1
4.6644 2.4712 1
-3.5715 9.4879 0
4.9209 1.3505 1
6.7838 2.6071 1
4.7534 2.6353 1
4.1649 1.3198 1
-2.9557 9.8707 0
5.4975 1.8132 1
-2.4490 11.4775 0
5.5395 2.2805 1
-1.1064 7.6124 0
5.1870 1.7710 1
1.3986 0.9488 1
-0.6434 9.4881 0
4.8640 1.9858 1
3.6339 0.7590 1
4.1545 2.0550 1
3.9095 2.1896 1
5.3218 1.6629 1
5.1549 2.4870 1
-1.0435 8.7885 0
3.8109 1.4130 1
-2.1851 8.6292 0
-3.0536 9.1252 0
5.1449 2.8389 1
-1.6867 7.7934 0
3.7415 2.4651 1
-1.6967 10.3705 0
-2.5450 10.5789 0
5.8030 1.9834 1
-3.4997 8.4480 0
-2.1476 8.3692 0
-1.6957 7.7834 0
4.8389 1.3730 1
-1.3664 9.7662 0
6.2259 0.7354 1
-2.4222 8.7153 0
3.8474 1.8584 1
-1.0313 8.4960 0
5.0528 1.4094 1
4.6276 1.0759 1
4.9969 1.2803 1
-2.4962 10.4678 0
3.8144 1.6518 1
-2.1514 9.5751 0
-3.3177 8.5125 0
-2.2493 9.7961 0
5.6150 1.8261 1
2.5160 1.4474 1
-3.3931 9.1680 0
-2.6248 8.7132 0
-3.1098 8.7226 0
-1.4261 10.0681 0
3.7129 1.9136 1
-2.4121 9.9829 0
-2.2161 8.2999 0
4.1688 2.2052 1
3.6584 2.4353 1
4.4318 1.4802 1
3.8807 2.1236 1
4.7376 1.2002 1
-2.4417 7.5895 0
4.5253 3.2110 1
-4.0599 9.0828 0
-2.5227 7.9566 0
5.2640 2.6015 1
-3.8374 9.2111 0
-2.1656 7.2512 0
5.1592 3.5059 1
-3.5220 9.3285 0
-1.8835 8.1571 0
-1.7182 8.1049 0
6.0812 0.5373 1
-2.7739 11.7345 0
-0.9300 9.7817 0
3.2622 1.0353 1
-2.1779 9.9898 0
-3.1109 10.8666 0
3.3790 2.8910 1
5.3872 2.5835 1
5.4653 2.7867 1
5.9454 1.9942 1
4.3873 0.7254 1
6.9545 0.1059 1
-5.1289 9.8362 0
5.9068 1.2655 1
3.8177 2.2169 1
3.8002 1.3738 1
-2.5041 8.7797 0
-2.4095 8.5108 0
-2.7016 9.3158 0
-2.2325 9.8415 0
4.8848 1.4662 1
-1.4782 9.9456 0
-1.9873 9.3113 0
6.7620 3.0056 1
-3.2113 8.6866 0
3.8671 1.7364 1
3.3196 3.8046 1
-3.9246 8.5936 0
6.7729 0.0211 1
-2.9013 7.5508 0
-3.5801 9.4968 0
4.6209 0.9706 1
5.5939 2.6246 1
2.6147 2.1596 1
5.5903 1.3963 1
-4.1167 9.1989 0
5.4527 2.6028 1
-2.9698 10.0714 0
3.4396 1.6387 1
-1.5938 9.3430 0
6.7931 1.2058 1
3.8217 4.0656 1
-2.2672 7.1010 0
-3.9877 8.2944 0
-1.7707 9.1857 0
5.9175 1.3816 1
-1.9223 11.2047 0
5.3300 1.5719 1
6.8297 1.1649 1
-3.3560 7.4994 0
-3.3484 8.7051 0
5.0837 2.7478 1
-2.3360 9.3996 0
-3.2925 8.6922 0
-3.1861 9.6260 0
5.2108 3.1087 1
-3.4172 7.6020 0
4.5311 2.3749 1
6.0910 2.9324 1
-1.3506 8.1936 0
4.1679 3.0621 1
4.6855 1.3216 1
-3.0390 9.5276 0
3.1205 1.4889 1
4.6451 2.0202 1
-4.2341 8.4520 0
5.5122 2.1565 1
-2.2817 10.3214 0
-3.3987 8.1985 0
-2.3003 7.0546 0
-2.2587 9.3607 0
3.1918 0.5657 1
4.7097 1.5879 1
6.2723 0.5430 1
-2.9884 8.8286 0
4.9508 3.4485 1
-1.5458 9.4271 0
4.9816 3.8493 1
4.3246 2.7321 1
4.7369 2.5683 1
4.9640 1.8430 1
-0.6230 9.1889 0
-2.7327 9.7283 0
-3.4839 9.8014 0
-3.6155 7.8181 0
-1.6871 10.9111 0
-2.4510 7.8713 0
4.6214 1.6845 1
-2.4174 7.0267 0
5.1549 5.8259 1
-3.1892 9.2465 0
-3.4286 10.5642 0
4.4881 2.5615 1
5.8193 1.5040 1
4.6190 2.0905 1
-2.2131 9.2753 0
4.7042 0.8954 1
2.9267 3.3270 1
-2.5439 7.8456 0
4.1998 2.1039 1
-4.4280 8.9878 0
-3.6602 9.3900 0
-2.8519 8.2120 0
6.4053 2.3782 1
-2.9787 9.5568 0
3.9781 2.8256 1
5.7980 2.7648 1
4.4222 3.0719 1
-2.7289 9.3714 0
-3.7461 7.6938 0
-2.2951 7.7685 0
-2.0360 8.9415 0
-2.1478 10.5523 0
-2.5812 10.0178 0
3.9246 2.6528 1
-2.9726 8.5486 0
3.9214 1.7597 1
-2.6705 9.4183 0
-2.7434 8.7801 0
5.3261 0.3605 1
-3.7005 9.6708 0
-2.5863 9.3554 0
4.0505 2.8228 1
-2.7546 8.2605 0
4.7157 1.2960 1
-2.2516 8.9398 0
