=== Non-Linearly Separable Dataset (D2) ===
X2_feature1 X2_feature2 y2_class
2.7574 1.8142 1
0.0414 1.4767 1
2.0575 1.6152 1
-0.1928 0.4226 0
1.6777 0.3110 1
0.9069 0.3443 1
-1.7695 -0.2889 0
0.4551 1.3252 1
-0.1733 1.8144 1
-1.5669 -0.2999 0
-2.1252 -1.1195 0
0.6013 1.4849 1
0.0804 0.3089 0
0.5573 0.8757 0
-0.0950 0.5037 1
-0.2476 0.5138 0
1.1129 2.5705 1
-0.3424 3.2954 0
0.6881 3.3058 0
1.2697 0.5196 1
-1.7209 2.7189 0
-1.2035 0.3695 0
-0.2800 1.8389 0
0.2953 0.3753 0
0.9171 1.7163 1
-0.0439 0.9998 0
1.4591 -0.3175 1
-2.2120 -0.9357 0
0.9657 1.3065 1
0.6748 0.2882 1
0.6263 0.5412 1
1.5880 1.3141 1
-0.5213 -0.6642 0
-0.4496 0.0703 0
-2.9706 -0.4706 1
-2.2117 -1.0062 0
-0.0088 0.9265 0
-1.4499 -0.2670 0
1.3521 1.8884 1
-1.5006 -0.3933 0
-0.8525 -0.3916 1
1.2165 1.3402 1
-0.8994 1.2769 0
0.5016 0.0279 0
3.2706 1.6016 1
-0.4910 0.2649 0
0.4563 0.3359 0
-0.6722 2.7482 0
2.3762 1.6326 1
-2.9219 0.4222 0
-1.2655 1.0724 0
-1.0729 -0.1870 1
0.6187 -0.2626 0
0.9857 1.6784 0
-1.5071 0.2998 0
0.6679 0.5872 0
0.0501 3.4173 0
0.4521 0.5010 0
-1.3480 1.5099 0
-2.3415 0.8249 0
-1.0540 -0.1323 0
-0.1221 -0.3379 1
0.0737 1.1022 1
0.1925 -0.6528 0
-0.2489 -0.1212 1
1.6576 1.5383 0
0.0613 -0.9979 1
1.1371 3.3256 0
2.1404 2.2210 1
-0.9513 0.5693 0
2.5402 0.3238 1
-0.1838 2.2723 0
-0.9967 -1.3317 0
0.7418 -0.1880 0
0.0981 2.2622 0
-2.2082 -0.7114 0
0.6620 0.4650 1
2.7714 1.3560 1
-1.3434 2.3851 0
1.6894 0.7773 1
-2.2938 0.1798 0
-1.5246 0.4190 0
-1.3964 1.9153 0
0.3786 -1.0202 0
-0.7388 0.3952 0
-0.3248 0.2098 1
-0.8054 1.3290 0
-1.3285 0.6515 0
1.9780 1.8734 0
-0.1581 2.6008 0
1.9461 1.4502 1
1.3105 0.5996 1
0.7441 0.2772 1
-0.4040 1.0862 0
0.8424 0.9020 1
3.4633 1.9537 1
-2.3643 2.3503 0
-0.5289 -1.4220 0
0.7818 0.2232 1
0.2840 -0.1516 1
0.7706 0.3762 1
1.7673 1.6261 1
0.8858 -0.6261 1
0.4570 0.9542 1
-0.2755 -0.4885 0
0.4947 0.2254 1
-0.4406 0.9611 0
-0.5278 1.8285 0
-1.0751 0.9135 0
-0.0284 0.5305 1
2.0945 -0.6044 1
0.6717 1.4904 1
-0.8858 0.4147 1
2.4427 1.8575 1
0.3281 0.3384 1
-0.4215 2.7946 0
1.2346 0.6808 1
1.7508 0.4154 1
0.4812 0.1232 1
-2.4356 1.3601 1
-0.3816 0.9967 0
-2.1589 2.6345 0
-0.4834 2.0166 0
-0.9980 -0.2518 1
0.2418 -0.0939 1
-0.8782 -1.2739 0
-0.5722 0.3694 1
-0.5670 -1.2025 0
-0.1549 1.3506 0
2.0980 1.4852 1
-0.9697 0.2008 1
-0.5413 1.7710 0
2.0387 -0.2895 0
-0.0489 0.6101 1
1.6521 -0.2912 1
0.3051 0.0005 1
-0.7665 1.6215 0
-2.0709 0.4681 0
1.8685 -0.7000 1
0.4739 2.2828 1
1.8706 1.4258 1
1.9025 2.1468 1
1.2690 1.4016 1
0.8952 1.4402 1
-0.3822 -0.0396 0
-1.8915 0.3997 0
0.5110 0.2060 0
0.2703 1.5205 0
0.4333 0.8675 1
1.5658 0.7528 1
3.3843 4.2842 1
-1.1062 0.0901 1
-1.7515 -0.5747 1
1.8589 1.1731 1
-2.2921 0.1632 0
-1.1320 2.4828 0
-1.4065 1.7963 0
0.1834 0.9176 0
0.2109 2.3376 0
0.1910 0.9116 1
0.1321 1.3302 0
2.5259 0.3561 0
-0.1527 0.6443 1
-0.0513 0.5361 0
-0.3066 -0.0932 0
-1.3955 -0.6125 1
0.1144 0.9256 1
0.9081 1.1453 1
1.9608 0.9381 1
-1.5925 0.0969 0
1.7191 0.5134 1
0.3619 0.8190 0
-1.3680 -0.9487 0
1.0520 0.7202 0
1.7094 -0.1252 1
-0.3565 0.1737 1
-1.1112 0.7413 1
1.7651 1.0598 1
-1.0772 1.4775 0
-0.0232 0.1662 1
-0.6803 -0.0035 0
-2.2417 1.6435 0
0.4389 0.4984 0
-0.5181 1.0847 0
1.4337 0.3922 1
1.0294 0.8360 1
2.1488 2.5068 1
-0.7125 1.3114 0
1.0923 1.2457 1
-1.0644 0.5647 0
0.1723 1.1380 1
1.7580 1.4281 1
1.1749 1.7533 1
-0.1081 1.7504 0
2.1080 0.9634 1
0.6140 -0.5585 1
0.8930 2.2123 0
0.1269 0.8496 1
-0.3967 -0.2912 0
0.6755 0.0999 1
